name,description
Adaptability,This Pokemon's same-type attack bonus (STAB) is 2 instead of 1.5.
Aerilate,This Pokemon's Normal-type moves become Flying type and have 1.2x power.
Aftermath,"If this Pokemon is KOed with a contact move, that move's user loses 1/4 its max HP."
Air Lock,"While this Pokemon is active, the effects of weather conditions are disabled."
Analytic,This Pokemon's attacks have 1.3x power if it is the last to move in a turn.
Anger Point,"If this Pokemon (not its substitute) takes a critical hit, its Attack is raised 12 stages."
Anger Shell,"At 1/2 or less of this Pokemon's max HP: +1 Atk, Sp. Atk, Spe, and -1 Def, Sp. Def."
Anticipation,"On switch-in, this Pokemon shudders if any foe has a supereffective or OHKO move."
Arena Trap,Prevents opposing Pokemon from choosing to switch out unless they are airborne.
Armor Tail,This Pokemon and its allies are protected from opposing priority moves.
Aroma Veil,"Protects user/allies from Attract, Disable, Encore, Heal Block, Taunt, and Torment."
As One (Glastrier),Combination of the Unnerve and Chilling Neigh Abilities.
As One (Spectrier),Combination of the Unnerve and Grim Neigh Abilities.
Aura Break,"While this Pokemon is active, the Dark Aura and Fairy Aura power modifier is 0.75x."
Bad Dreams,Causes sleeping foes to lose 1/8 of their max HP at the end of each turn.
Ball Fetch,No competitive use.
Battery,This Pokemon's allies have the power of their special attacks multiplied by 1.3.
Battle Armor,This Pokemon cannot be struck by a critical hit.
Battle Bond,"After KOing a Pokemon: raises Attack, Sp. Atk, Speed by 1 stage. Once per battle."
Beads of Ruin,Active Pokemon without this Ability have their Special Defense multiplied by 0.75.
Beast Boost,This Pokemon's highest stat is raised by 1 if it attacks and KOes another Pokemon.
Berserk,This Pokemon's Sp. Atk is raised by 1 when it reaches 1/2 or less of its max HP.
Big Pecks,Prevents other Pokemon from lowering this Pokemon's Defense stat stage.
Blaze,"At 1/3 or less of its max HP, this Pokemon's offensive stat is 1.5x with Fire attacks."
Bulletproof,This Pokemon is immune to bullet moves.
Cheek Pouch,"If this Pokemon eats a Berry, it restores 1/3 of its max HP after the Berry's effect."
Chilling Neigh,This Pokemon's Attack is raised by 1 stage if it attacks and KOes another Pokemon.
Chlorophyll,"If Sunny Day is active, this Pokemon's Speed is doubled."
Clear Body,Prevents other Pokemon from lowering this Pokemon's stat stages.
Cloud Nine,"While this Pokemon is active, the effects of weather conditions are disabled."
