name,type,power,accuracy,pp,description
"10,000,000 Volt Thunderbolt",Electric,195,—,1,Very high critical hit ratio.
Absorb,Grass,20,100%,25,User recovers 50% of the damage dealt.
Accelerock,Rock,40,100%,20,Usually goes first.
Acid,Poison,40,100%,30,10% chance to lower the foe(s) Sp. Def by 1.
Acid Armor,Poison,—,—,20,Raises the user's Defense by 2.
Acid Downpour,Poison,1,—,1,Power is equal to the base move's Z-Power.
Acid Spray,Poison,40,100%,20,100% chance to lower the target's Sp. Def by 2.
Acrobatics,Flying,55,100%,15,Power doubles if the user has no held item.
Acupressure,Normal,—,—,30,Raises a random stat of the user or an ally by 2.
Aerial Ace,Flying,60,—,20,This move does not check accuracy.
Aeroblast,Flying,100,95%,5,High critical hit ratio.
After You,Normal,—,—,15,The target makes its move right after the user.
Agility,Psychic,—,—,30,Raises the user's Speed by 2.
Air Cutter,Flying,60,95%,25,High critical hit ratio. Hits adjacent foes.
Air Slash,Flying,75,95%,15,30% chance to make the target flinch.
All-Out Pummeling,Fighting,1,—,1,Power is equal to the base move's Z-Power.
Alluring Voice,Fairy,80,100%,10,100% confuse target that had a stat rise this turn.
Ally Switch,Psychic,—,—,15,User and ally swap positions; using again can fail.
Amnesia,Psychic,—,—,20,Raises the user's Sp. Def by 2.
Anchor Shot,Steel,80,100%,20,Prevents the target from switching out.
Ancient Power,Rock,60,100%,5,10% chance to raise all stats by 1 (not acc/eva).
Apple Acid,Grass,80,100%,10,100% chance to lower the target's Sp. Def by 1.
Aqua Cutter,Water,70,100%,20,High critical hit ratio.
Aqua Jet,Water,40,100%,20,Usually goes first.
Aqua Ring,Water,—,—,20,User recovers 1/16 max HP per turn.
Aqua Step,Water,80,100%,10,100% chance to raise the user's Speed by 1.
Aqua Tail,Water,90,90%,10,No additional effect.
Arm Thrust,Fighting,15,100%,20,Hits 2-5 times in one turn.
Armor Cannon,Fire,120,100%,5,Lowers the user's Defense and Sp. Def by 1.
Aromatherapy,Grass,—,—,5,Cures the user's party of all status conditions.
Aromatic Mist,Fairy,—,—,20,Raises an ally's Sp. Def by 1.
Assist,Normal,—,—,20,Uses a random move known by a team member.
Assurance,Dark,60,100%,10,Power doubles if target was damaged this turn.
Astonish,Ghost,30,100%,15,30% chance to make the target flinch.
Astral Barrage,Ghost,120,100%,5,No additional effect. Hits adjacent foes.
Attack Order,Bug,90,100%,15,High critical hit ratio.
Attract,Normal,—,100%,15,A target of the opposite gender gets infatuated.
