name,type1,type2,ability1,ability2,ability3,formats,hp,atk,def,spa,spd,spe
Ababo,Fairy,,Pixilate,Own Tempo,Rattled,[],"HP
42","Atk
35","Def
27","SpA
35","SpD
35","Spe
38"
Abomasnow,"Grass
Ice",,Snow Warning,Soundproof,,['ZU'],"HP
90","Atk
92","Def
75","SpA
92","SpD
85","Spe
60"
Abomasnow-Mega,"Grass
Ice",,Snow Warning,,,['National Dex'],"HP
90","Atk
132","Def
105","SpA
132","SpD
105","Spe
30"
Abra,Psychic,,Synchronize,Magic Guard,Inner Focus,['National Dex'],"HP
25","Atk
20","Def
15","SpA
105","SpD
55","Spe
90"
Absol,Dark,,Pressure,Justified,Super Luck,['National Dex'],"HP
65","Atk
130","Def
60","SpA
75","SpD
60","Spe
75"
Absol-Mega,Dark,,Magic Bounce,,,['National Dex'],"HP
65","Atk
150","Def
60","SpA
115","SpD
60","Spe
115"
Accelgor,Bug,,Hydration,Unburden,Sticky Hold,['National Dex'],"HP
80","Atk
70","Def
40","SpA
100","SpD
60","Spe
145"
Aegislash,"Steel
Ghost",,Stance Change,,,['National Dex'],"HP
60","Atk
50","Def
140","SpA
50","SpD
140","Spe
60"
Aegislash-Blade,"Steel
Ghost",,Stance Change,,,['National Dex'],"HP
60","Atk
140","Def
50","SpA
140","SpD
50","Spe
60"
Aerodactyl,"Rock
Flying",,Rock Head,Unnerve,Pressure,['National Dex'],"HP
80","Atk
105","Def
65","SpA
60","SpD
75","Spe
130"
Aerodactyl-Mega,"Rock
Flying",,Tough Claws,,,['National Dex'],"HP
80","Atk
135","Def
85","SpA
70","SpD
95","Spe
150"
Aggron,"Steel
Rock",,Sturdy,Heavy Metal,Rock Head,['National Dex'],"HP
70","Atk
110","Def
180","SpA
60","SpD
60","Spe
50"
Aggron-Mega,Steel,,Filter,,,['National Dex'],"HP
70","Atk
140","Def
230","SpA
60","SpD
80","Spe
50"
Aipom,Normal,,Run Away,Skill Link,Pickup,['NFE'],"HP
55","Atk
70","Def
55","SpA
40","SpD
55","Spe
85"
Alakazam,Psychic,,Synchronize,Magic Guard,Inner Focus,['National Dex'],"HP
55","Atk
50","Def
45","SpA
135","SpD
95","Spe
120"
Alakazam-Mega,Psychic,,Trace,,,['National Dex'],"HP
55","Atk
50","Def
65","SpA
175","SpD
105","Spe
150"
Alcremie,Fairy,,Sweet Veil,Aroma Veil,,['ZUBL'],"HP
65","Atk
60","Def
75","SpA
110","SpD
121","Spe
64"
Alcremie-Gmax,Fairy,,Sweet Veil,Aroma Veil,,['National Dex'],"HP
65","Atk
60","Def
75","SpA
110","SpD
121","Spe
64"
